E_GeV,Edep_mean_MeV,sigmaE_over_E,err,sigma_t_ps,err
5,642.9063,0.052439,0.003227,nan,nan
25,3226.2508,0.029382,0.001762,nan,nan
50,6469.2135,0.015674,0.000980,nan,nan
100,12959.6280,0.012340,0.000780,nan,nan
200,25809.4573,0.009080,0.000574,nan,nan
