E_GeV,Edep_mean_MeV,sigmaE_over_E,err,sigma_t_ps,err
5,1174.9192,0.043568,0.002550,nan,nan
25,5871.0338,0.020646,0.001169,nan,nan
50,11735.8862,0.016474,0.001030,nan,nan
100,23523.4377,0.010935,0.000683,nan,nan
200,46934.9645,0.007132,0.000453,nan,nan
