E_GeV,Edep_mean_MeV,sigmaE_over_E,err,sigma_t_ps,err
5,672.8207,0.052492,0.002004,nan,nan
25,3369.8349,0.023264,0.000878,nan,nan
50,6748.8574,0.018942,0.000688,nan,nan
75,10124.1726,0.014764,0.000538,nan,nan
100,13482.7219,0.013296,0.000496,nan,nan
125,16860.9969,0.011244,0.000435,nan,nan
150,20227.3245,0.011362,0.000420,nan,nan
175,23566.5412,0.010778,0.000406,nan,nan
200,26938.8584,0.010023,0.000378,nan,nan
