E_GeV,Edep_mean_MeV,sigmaE_over_E,err,sigma_t_ps,err
5,1408.5580,0.035402,0.002171,nan,nan
25,7050.3502,0.016678,0.001034,nan,nan
50,14132.3257,0.013345,0.000828,nan,nan
100,28126.4253,0.009310,0.000586,nan,nan
200,56323.6977,0.007709,0.000466,nan,nan
